Species,DB,CSV,Precision,Recall,F-measure,AnsCount
human,darned_human_hg19.csv,Ramaswami2012_YH_Alu_PolyA+PolyA-.csv,0.698268,0.156890,0.156890,308744
human,darned_human_hg19.csv,Ramaswami2012_YH_NonAluRpt_PolyA+PolyA-.csv,0.988463,0.016450,0.016450,308744
human,darned_human_hg19.csv,Ramaswami2012_YH_NonRpt_PolyA+PolyA-.csv,0.212242,0.002746,0.002746,308744
human,darned_human_hg19.csv,ENCODE_gm12878.csv,0.112471,0.000662,0.000662,308744
human,darned_human_hg19.csv,ENCODE_gm12891.csv,0.123077,0.000795,0.000795,308744
human,darned_human_hg19.csv,ENCODE_gm12892.csv,0.130486,0.000377,0.000377,308744
human,darned_human_hg19.csv,ENCODE_h1esc.csv,0.115688,0.000453,0.000453,308744
human,darned_human_hg19.csv,ENCODE_hct116.csv,0.101498,0.000627,0.000627,308744
human,darned_human_hg19.csv,ENCODE_helas3.csv,0.108407,0.000336,0.000336,308744
human,darned_human_hg19.csv,ENCODE_hepg2.csv,0.094340,0.000103,0.000103,308744
human,darned_human_hg19.csv,ENCODE_hsmm.csv,0.110697,0.000305,0.000305,308744
human,darned_human_hg19.csv,ENCODE_huvec.csv,0.157407,0.000175,0.000175,308744
human,darned_human_hg19.csv,ENCODE_k562.csv,0.090541,0.000230,0.000230,308744
human,darned_human_hg19.csv,ENCODE_lhcn.csv,0.126524,0.000285,0.000285,308744
human,darned_human_hg19.csv,ENCODE_mcf7.csv,0.111669,0.000305,0.000305,308744
human,darned_human_hg19.csv,ENCODE_nhek.csv,0.114634,0.000322,0.000322,308744
human,darned_human_hg19.csv,ENCODE_nhlf.csv,0.122159,0.000442,0.000442,308744
human,darned_human_hg19.csv,BrainTissues_PooledSamplesAlu.csv,0.171527,0.038539,0.038539,308744
human,darned_human_hg19.csv,BrainTissues_PooledSamplesNonRepetitive.csv,0.077516,0.002863,0.002863,308744
human,darned_human_hg19.csv,BrainTissues_PooledSamplesRepetitiveNonAlu.csv,0.106225,0.004663,0.004663,308744
human,darned_human_hg19.csv,OtherHumanTissues_PooledSamplesAlu.csv,0.210712,0.047344,0.047344,308744
human,darned_human_hg19.csv,OtherHumanTissues_PooledSamplesNonRepetitive.csv,0.228049,0.001968,0.001968,308744
human,darned_human_hg19.csv,OtherHumanTissues_PooledSamplesRepetitiveNonAlu.csv,0.286839,0.002623,0.002623,308744
human,darned_human_hg19.csv,lymphoblastoidCell_PooledSamplesAlu.csv,0.318563,0.071576,0.071576,308744
human,darned_human_hg19.csv,lymphoblastoid_PooledSamplesNon-Repetitive.csv,0.265619,0.002259,0.002259,308744
human,darned_human_hg19.csv,lymphoblastoid_PooledSamplesRepetitiveNonAlu.csv,0.414835,0.003624,0.003624,308744
human,darned_human_hg19.csv,Zhu2013.csv,0.564811,0.004347,0.004347,308744
